"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"409599","Víctima","Femenino","Madre","Física","40","40 a 49 años","Femenino","4","1","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2018-12-01 20:05:52","Ciudad Autónoma de Buenos Aires","02"
"409600","Comisaría","Femenino","Madre","Física","38","30 a 39 años","Femenino","1","1","Masculino","Ex espos@/pareja","No había móviles y/o Equipos para realizar la intervención","2018-12-01 20:08:47","Ciudad Autónoma de Buenos Aires","02"
"409601","Vecina/o de la víctima","Masculino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Está interviniendo o se deriva a otra institución","2018-12-01 20:53:27","Ciudad Autónoma de Buenos Aires","02"
"409601","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-01 21:05:43","Ciudad Autónoma de Buenos Aires","02"
"409602","Otro sobre un caso que no es violencia familiar","Femenino","No hay niñas/os","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-01 21:24:07","Ciudad Autónoma de Buenos Aires","02"
"346444","Víctima","Femenino","Madre","Psicológica","19","18 a 29 años","NS/NC","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-01 22:23:09","Ciudad Autónoma de Buenos Aires","02"
"409603","Otro sobre un caso que no es violencia familiar","Femenino","No hay niñas/os","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-01 22:45:08","Ciudad Autónoma de Buenos Aires","02"
"409604","Familiar de la víctima","Masculino","Padre","Física","13","12 a 17 años","Femenino","2","1","Femenino","Madre","Llamante solicitó información y/o orientación","2018-12-02 00:15:44","Ciudad Autónoma de Buenos Aires","02"
"2057","Vecina/o de la víctima","Femenino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","NS/NC","2","1","NS/NC","Ns/Nc","Llamante solicitó información y/o orientación","2018-12-02 04:44:57","Ciudad Autónoma de Buenos Aires","02"
"409605","Vecina/o de la víctima","Femenino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","NS/NC","1","1","NS/NC","Padre","Llamante solicitó información y/o orientación","2018-12-02 04:55:29","Ciudad Autónoma de Buenos Aires","02"
"409606","Otro sobre un caso que no es violencia familiar","Masculino","Padre","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-02 07:47:21","Ciudad Autónoma de Buenos Aires","02"
"409608","Comisaría","Femenino","Madre","Psicológica","18","18 a 29 años","Femenino","1","1","Femenino","Otro no conviviente","La víctima no aceptó la intervención de Equipos Móviles","2018-12-02 07:52:35","Ciudad Autónoma de Buenos Aires","02"
"409609","Comisaría","Femenino","Otro no familiar","Física","34","30 a 39 años","Femenino","4","1","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2018-12-02 11:56:18","Ciudad Autónoma de Buenos Aires","02"
"409610","Otro sobre un caso que no es violencia familiar","Masculino","No hay niñas/os","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-02 13:24:52","Ciudad Autónoma de Buenos Aires","02"
"409612","Víctima","Femenino","No hay niñas/os","Física","52","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2018-12-02 13:45:50","Ciudad Autónoma de Buenos Aires","02"
"65470","Otro sobre un caso que no es violencia familiar","NS/NC","Sin datos","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-02 13:49:32","Ciudad Autónoma de Buenos Aires","02"
"409611","Hospital","Masculino","Otro no familiar","Física","28","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-02 13:58:37","Ciudad Autónoma de Buenos Aires","02"
"361736","Familiar de la víctima","Femenino","Madre","Psicológica","2","1 a 5 años","Masculino","2","1","NS/NC","Ns/Nc","Llamante solicitó información y/o orientación","2018-12-02 14:18:40","Ciudad Autónoma de Buenos Aires","02"
"409614","Comisaría","Masculino","Otro no familiar","Física","39","30 a 39 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-02 15:42:43","Ciudad Autónoma de Buenos Aires","02"
"170172","Agresor/a","Femenino","Madre","Física","2","1 a 5 años","Masculino","2","1","Femenino","Ns/Nc","Llamante solicitó información y/o orientación","2018-12-02 17:44:55","Ciudad Autónoma de Buenos Aires","02"
"409615","Familiar de la víctima","Femenino","Otro familiar","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Femenino","Herman@","Llamante solicitó información y/o orientación","2018-12-02 19:45:38","Ciudad Autónoma de Buenos Aires","02"
"409616","Comisaría","Masculino","Otro no familiar","Física","30","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2018-12-02 19:59:57","Ciudad Autónoma de Buenos Aires","02"
"404966","Vecina/o de la víctima","Masculino","No hay niñas/os","Física","27","18 a 29 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2018-12-02 21:02:03","Ciudad Autónoma de Buenos Aires","02"
"409617","Comisaría","Femenino","Madre","Física","44","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-02 22:14:31","Ciudad Autónoma de Buenos Aires","02"
"409618","Comisaría","Femenino","Madre","Física","40","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-02 22:20:10","Ciudad Autónoma de Buenos Aires","02"
"409620","Familiar de la víctima","Masculino","Otro familiar","Física","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-02 23:39:11","Ciudad Autónoma de Buenos Aires","02"
"358868","Víctima","Femenino","Madre","Psicológica","41","40 a 49 años","Femenino","1","1","Masculino","Padre","La víctima no aceptó la intervención de Equipos Móviles","2018-12-03 00:19:10","Ciudad Autónoma de Buenos Aires","02"
"404966","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-03 00:25:48","Ciudad Autónoma de Buenos Aires","02"
"409621","Comisaría","Femenino","Otro no familiar","Física","32","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-03 02:11:46","Ciudad Autónoma de Buenos Aires","02"
"409622","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-03 02:32:16","Ciudad Autónoma de Buenos Aires","02"
"409624","Comisaría","Femenino","Otro no familiar","Física","56","50 a 59 años","Femenino","1","1","Femenino","Otro no conviviente","La víctima no aceptó la intervención de Equipos Móviles","2018-12-03 03:33:54","Ciudad Autónoma de Buenos Aires","02"
"409626","Comisaría","Femenino","Otro no familiar","Psicológica","40","40 a 49 años","Femenino","1","2","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-03 04:27:22","Ciudad Autónoma de Buenos Aires","02"
"408631","Víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ns/Nc","Llamante solicitó información y/o orientación","2018-12-03 04:39:18","Ciudad Autónoma de Buenos Aires","02"
"373741","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 04:49:39","Ciudad Autónoma de Buenos Aires","02"
"409627","Comisaría","Femenino","No hay niñas/os","Física","20","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 07:51:48","Ciudad Autónoma de Buenos Aires","02"
"409628","Comisaría","Femenino","Madre","Física","21","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 08:04:32","Ciudad Autónoma de Buenos Aires","02"
"409621","Otra Institución","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 08:11:24","Ciudad Autónoma de Buenos Aires","02"
"409629","Comisaría","Femenino","No hay niñas/os","Física","64","Más de 60 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 08:18:21","Ciudad Autónoma de Buenos Aires","02"
"409621","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-03 08:39:20","Ciudad Autónoma de Buenos Aires","02"
"409583","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-03 08:59:28","Ciudad Autónoma de Buenos Aires","02"
"409630","Otro Particular","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","3","2","Femenino","Madre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-03 10:04:02","Ciudad Autónoma de Buenos Aires","02"
"409621","Familiar de la víctima","Femenino","Otro familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","NS/NC","Ns/Nc","Llamante solicitó información y/o orientación","2018-12-03 11:14:44","Ciudad Autónoma de Buenos Aires","02"
"409632","Familiar de la víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","NS/NC","Ns/Nc","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-03 12:03:39","Ciudad Autónoma de Buenos Aires","02"
"409582","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-03 12:24:22","Ciudad Autónoma de Buenos Aires","02"
"409640","Familiar de la víctima","Masculino","No hay niñas/os","Física","87","Más de 60 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-03 13:32:23","Ciudad Autónoma de Buenos Aires","02"
"409629","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-03 14:25:00","Ciudad Autónoma de Buenos Aires","02"
"409643","Familiar de la víctima","Masculino","Otro familiar","Psicológica","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-03 14:30:13","Ciudad Autónoma de Buenos Aires","02"
"409652","Otro sobre un caso que no es violencia familiar","Masculino","No hay niñas/os","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-03 15:05:57","Ciudad Autónoma de Buenos Aires","02"
"409659","Otro sobre un caso que no es violencia familiar","Femenino","Madre","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-03 15:27:53","Ciudad Autónoma de Buenos Aires","02"
"409660","Víctima","Femenino","No hay niñas/os","Psicológica","25","18 a 29 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2018-12-03 15:33:36","Ciudad Autónoma de Buenos Aires","02"
"105912","Otro sobre un caso que no es violencia familiar","Femenino","No hay niñas/os","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-03 15:35:54","Ciudad Autónoma de Buenos Aires","02"
"409661","Víctima","Femenino","Otro familiar","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Herman@","Llamante solicitó información y/o orientación","2018-12-03 15:38:00","Ciudad Autónoma de Buenos Aires","02"
"290714","Comisaría","Masculino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","Masculino","2","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 16:24:52","Ciudad Autónoma de Buenos Aires","02"
"409671","Familiar de la víctima","Masculino","No hay niñas/os","Física","60","Más de 60 años","Masculino","1","1","NS/NC","Otro conviviente","Se planificó intervención para otro momento","2018-12-03 16:34:17","Ciudad Autónoma de Buenos Aires","02"
"409672","Comisaría","Femenino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Otro no conviviente","La víctima no aceptó la intervención de Equipos Móviles","2018-12-03 16:37:59","Ciudad Autónoma de Buenos Aires","02"
"409678","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-03 17:02:43","Ciudad Autónoma de Buenos Aires","02"
"409412","Agresor/a","Masculino","Padre","Psicológica","39","30 a 39 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 17:13:42","Ciudad Autónoma de Buenos Aires","02"
"409689","Otro Particular","Femenino","Otro no familiar","Física","21","18 a 29 años","Femenino","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-03 17:48:22","Ciudad Autónoma de Buenos Aires","02"
"373107","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-03 17:51:12","Ciudad Autónoma de Buenos Aires","02"
"409694","Familiar de la víctima","Femenino","Otro familiar","Física","25","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-03 18:07:34","Ciudad Autónoma de Buenos Aires","02"
"409608","Comisaría","Femenino","Madre","Física","44","40 a 49 años","Femenino","1","1","Femenino","Otro no conviviente","No había móviles y/o Equipos para realizar la intervención","2018-12-03 18:37:55","Ciudad Autónoma de Buenos Aires","02"
"409698","Víctima","Femenino","No hay niñas/os","Física","77","Más de 60 años","Femenino","1","1","Masculino","Hij@","Está interviniendo o se deriva a otra institución","2018-12-03 18:40:50","Ciudad Autónoma de Buenos Aires","02"
"409569","Familiar de la víctima","Masculino","Padre","Física","7","6 a 11 años","Masculino","1","1","Femenino","Madre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-03 18:46:20","Ciudad Autónoma de Buenos Aires","02"
"409702","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-03 19:29:02","Ciudad Autónoma de Buenos Aires","02"
"409703","Comisaría","Masculino","Otro no familiar","Física","36","30 a 39 años","Femenino","1","1","Masculino","Ns/Nc","Llamante solicitó información y/o orientación","2018-12-03 21:51:36","Ciudad Autónoma de Buenos Aires","02"
"409578","Comisaría","Femenino","Otro no familiar","Física","26","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-03 23:07:35","Ciudad Autónoma de Buenos Aires","02"
"409704","Otro sobre un caso que no es violencia familiar","Masculino","Otro familiar","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-03 23:12:30","Ciudad Autónoma de Buenos Aires","02"
"409705","Vecina/o de la víctima","Masculino","Otro no familiar","Física","14","12 a 17 años","Masculino","1","1","Femenino","Madre","La víctima no aceptó la intervención de Equipos Móviles","2018-12-04 00:04:41","Ciudad Autónoma de Buenos Aires","02"
"409706","Víctima","Femenino","Hermana/o","Física","23","18 a 29 años","Femenino","1","1","Masculino","Herman@","No había móviles y/o Equipos para realizar la intervención","2018-12-04 00:15:23","Ciudad Autónoma de Buenos Aires","02"
"347846","Víctima","Femenino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-04 01:46:32","Ciudad Autónoma de Buenos Aires","02"
"409707","Comisaría","Masculino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-04 02:06:27","Ciudad Autónoma de Buenos Aires","02"
"409708","Comisaría","Femenino","No hay niñas/os","Física","41","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-04 07:58:13","Ciudad Autónoma de Buenos Aires","02"
"409709","Familiar de la víctima","Femenino","No hay niñas/os","Física","72","Más de 60 años","Masculino","1","1","Masculino","Hij@","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-04 10:05:18","Ciudad Autónoma de Buenos Aires","02"
"408945","Familiar de la víctima","Femenino","Otro familiar","Física","Sin Datos","Sin Datos","NS/NC","2","2","Femenino","Madre","Llamante solicitó información y/o orientación","2018-12-04 11:00:24","Ciudad Autónoma de Buenos Aires","02"
"409710","Vecina/o de la víctima","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2018-12-04 11:15:37","Ciudad Autónoma de Buenos Aires","02"
"409702","Víctima","Femenino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-04 11:42:44","Ciudad Autónoma de Buenos Aires","02"
"409711","Familiar de la víctima","Femenino","Otro familiar","Física","66","Más de 60 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-04 12:21:08","Ciudad Autónoma de Buenos Aires","02"
"409712","Otro Particular","Femenino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","Femenino","2","1","NS/NC","Otro conviviente","Llamante solicitó información y/o orientación","2018-12-04 12:24:22","Ciudad Autónoma de Buenos Aires","02"
"409569","Familiar de la víctima","Masculino","Padre","Física","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Padre","Llamante solicitó información y/o orientación","2018-12-04 13:02:52","Ciudad Autónoma de Buenos Aires","02"
"409713","Familiar de la víctima","Femenino","Madre","Física","3","1 a 5 años","Masculino","2","1","Masculino","Madre","Llamante solicitó información y/o orientación","2018-12-04 13:03:34","Ciudad Autónoma de Buenos Aires","02"
"409714","Otro Particular","Masculino","Otro familiar","Psicológica","15","12 a 17 años","Femenino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2018-12-04 13:16:26","Ciudad Autónoma de Buenos Aires","02"
"409715","Víctima","Femenino","No hay niñas/os","Física","57","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-04 13:31:36","Ciudad Autónoma de Buenos Aires","02"
"409716","Familiar de la víctima","Femenino","Sin datos","Psicológica","8","6 a 11 años","Masculino","1","1","Femenino","Abuel@","Llamante solicitó información y/o orientación","2018-12-04 16:04:16","Ciudad Autónoma de Buenos Aires","02"
"409717","Víctima","Femenino","Madre","Psicológica","13","12 a 17 años","Femenino","2","1","Masculino","Padre","Llamante solicitó información y/o orientación","2018-12-04 16:28:59","Ciudad Autónoma de Buenos Aires","02"
"409718","Otra Institución","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Masculino","2","1","Masculino","Padre","Llamante solicitó información y/o orientación","2018-12-04 17:59:04","Ciudad Autónoma de Buenos Aires","02"
"409719","Comisaría","Masculino","No hay niñas/os","Física","52","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-04 18:49:57","Ciudad Autónoma de Buenos Aires","02"
"409720","Comisaría","Femenino","Madre","Psicológica","49","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-04 19:42:17","Ciudad Autónoma de Buenos Aires","02"
"409721","Comisaría","Masculino","Otro no familiar","Física","9","6 a 11 años","Femenino","2","1","Femenino","Pareja de la madre/padre","Llamante solicitó información y/o orientación","2018-12-04 22:04:42","Ciudad Autónoma de Buenos Aires","02"
"409722","Otro sobre un caso que no es violencia familiar","Femenino","Madre","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-04 22:44:29","Ciudad Autónoma de Buenos Aires","02"
"409724","Víctima","Femenino","Madre","Psicológica","28","18 a 29 años","Femenino","4","1","Masculino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-04 23:32:24","Ciudad Autónoma de Buenos Aires","02"
"409723","Otra Institución","Femenino","Otro no familiar","Física","38","30 a 39 años","Femenino","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-04 23:33:40","Ciudad Autónoma de Buenos Aires","02"
"409725","Vecina/o de la víctima","Masculino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2018-12-04 23:39:07","Ciudad Autónoma de Buenos Aires","02"
"409726","Otra Institución","Masculino","Otro no familiar","Física","34","30 a 39 años","Femenino","4","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-12-04 23:48:00","Ciudad Autónoma de Buenos Aires","02"
"409728","Comisaría","Femenino","Otro no familiar","Física","41","40 a 49 años","Femenino","1","1","Masculino","Otro no conviviente","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-05 07:37:54","Ciudad Autónoma de Buenos Aires","02"
"409729","Hospital","Femenino","No hay niñas/os","Física","28","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-12-05 11:44:51","Ciudad Autónoma de Buenos Aires","02"
"409730","Comisaría","Femenino","Otro no familiar","Psicológica","40","40 a 49 años","Femenino","4","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-12-05 11:47:04","Ciudad Autónoma de Buenos Aires","02"
"409731","Otro sobre un caso que no es violencia familiar","Femenino","Madre","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-05 12:06:37","Ciudad Autónoma de Buenos Aires","02"
"409732","Otro sobre un caso que no es violencia familiar","Femenino","Otro no familiar","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-12-05 12:08:54","Ciudad Autónoma de Buenos Aires","02"
"409734","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-12-05 12:28:03","Ciudad Autónoma de Buenos Aires","02"
