"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"296378","Otro Particular","Femenino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","Masculino","1","1","NS/NC","Padre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-01 22:50:00","Ciudad Autónoma de Buenos Aires","02"
"296379","Familiar de la víctima","Femenino","Otro familiar","Psicológica","42","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-02 23:20:00","Ciudad Autónoma de Buenos Aires","02"
"296380","Comisaría","Masculino","Padre","Psicológica","Sin Datos","Sin Datos","NS/NC","2","3","NS/NC","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-02 00:30:00","Ciudad Autónoma de Buenos Aires","02"
"296381","Comisaría","Femenino","Otro no familiar","Física","44","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-04-02 00:55:00","Ciudad Autónoma de Buenos Aires","02"
"296382","Comisaría","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Masculino","3","1","Masculino","Padre","La víctima no aceptó la intervención de Equipos Móviles","2019-04-02 03:10:00","Ciudad Autónoma de Buenos Aires","02"
"296383","Comisaría","Femenino","Sin datos","Física","33","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-02 05:30:00","Ciudad Autónoma de Buenos Aires","02"
"296384","Víctima","Femenino","Madre","Psicológica","57","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-02 06:20:00","Ciudad Autónoma de Buenos Aires","02"
"296385","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 06:20:00","Ciudad Autónoma de Buenos Aires","02"
"296386","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 06:25:00","Ciudad Autónoma de Buenos Aires","02"
"296387","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 06:20:00","Ciudad Autónoma de Buenos Aires","02"
"296388","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 08:15:00","Ciudad Autónoma de Buenos Aires","02"
"296389","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 08:00:00","Ciudad Autónoma de Buenos Aires","02"
"296390","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 10:00:00","Ciudad Autónoma de Buenos Aires","02"
"296391","Comisaría","Masculino","Otro no familiar","Física","24","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","No había móviles y/o Equipos para realizar la intervención","2019-04-02 10:25:00","Ciudad Autónoma de Buenos Aires","02"
"296392","Comisaría","Masculino","Otro no familiar","Física","20","18 a 29 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-02 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296393","Comisaría","Masculino","Otro no familiar","Física","99","Sin Datos","Femenino","1","1","Masculino","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 12:40:00","Ciudad Autónoma de Buenos Aires","02"
"296394","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 12:30:00","Ciudad Autónoma de Buenos Aires","02"
"296395","Vecina/o de la víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Masculino","1","1","Masculino","Padre","Llamante solicitó información y/o orientación","2019-04-02 13:10:00","Ciudad Autónoma de Buenos Aires","02"
"296396","Familiar de la víctima","Femenino","Otro familiar","Física","42","40 a 49 años","Femenino","3","1","Masculino","Pareja de la madre/padre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-02 14:35:00","Ciudad Autónoma de Buenos Aires","02"
"296397","Familiar de la víctima","Femenino","Sin datos","Física","27","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-02 17:50:00","Ciudad Autónoma de Buenos Aires","02"
"296398","Víctima","Femenino","Madre","Física","14","12 a 17 años","Masculino","2","1","Masculino","Padre","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 18:00:00","Ciudad Autónoma de Buenos Aires","02"
"296399","Otro Particular","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-02 19:00:00","Ciudad Autónoma de Buenos Aires","02"
"296400","Familiar de la víctima","Femenino","Otro familiar","Física","9","6 a 11 años","Masculino","3","1","Femenino","Madre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-02 16:25:00","Ciudad Autónoma de Buenos Aires","02"
"296402","Comisaría","Femenino","Otro no familiar","Física","30","30 a 39 años","Femenino","4","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-02 23:00:00","Ciudad Autónoma de Buenos Aires","02"
"296403","Comisaría","Masculino","No hay niñas/os","Psicológica","26","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-02 23:00:00","Ciudad Autónoma de Buenos Aires","02"
"296404","Comisaría","Femenino","Otro no familiar","Física","35","30 a 39 años","Femenino","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-03 00:15:00","Ciudad Autónoma de Buenos Aires","02"
"296405","Comisaría","Femenino","No hay niñas/os","Física","47","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-03 00:45:00","Ciudad Autónoma de Buenos Aires","02"
"296406","Familiar de la víctima","Femenino","Hermana/o","Psicológica","5","1 a 5 años","Masculino","1","0","NS/NC","Ns/Nc","La víctima no aceptó la intervención de Equipos Móviles","2019-04-03 21:40:00","Ciudad Autónoma de Buenos Aires","02"
"296407","Comisaría","Femenino","Otro no familiar","Física","40","40 a 49 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-03 02:00:00","Ciudad Autónoma de Buenos Aires","02"
"296408","Comisaría","Masculino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-03 09:30:00","Ciudad Autónoma de Buenos Aires","02"
"296409","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-03 08:05:00","Ciudad Autónoma de Buenos Aires","02"
"296410","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-03 08:10:00","Ciudad Autónoma de Buenos Aires","02"
"296411","Comisaría","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","3","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-03 09:05:00","Ciudad Autónoma de Buenos Aires","02"
"296412","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-03 08:10:00","Ciudad Autónoma de Buenos Aires","02"
"296413","Familiar de la víctima","Femenino","Otro familiar","Física","4","1 a 5 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-04-03 11:00:00","Ciudad Autónoma de Buenos Aires","02"
"296414","Familiar de la víctima","Femenino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-03 10:30:00","Ciudad Autónoma de Buenos Aires","02"
"296415","Otro sobre un caso que no es violencia familiar","Masculino","Padre","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-03 12:20:00","Ciudad Autónoma de Buenos Aires","02"
"296416","Víctima","Femenino","Madre","Psicológica","38","30 a 39 años","Femenino","3","1","Masculino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-03 12:55:00","Ciudad Autónoma de Buenos Aires","02"
"296417","Comisaría","Femenino","Madre","Física","33","30 a 39 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-03 15:00:00","Ciudad Autónoma de Buenos Aires","02"
"296418","Comisaría","Femenino","Otro no familiar","Física","20","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-03 14:25:00","Ciudad Autónoma de Buenos Aires","02"
"296420","Comisaría","Femenino","Madre","Física","36","30 a 39 años","Femenino","1","1","Masculino","Padre","No había móviles y/o Equipos para realizar la intervención","2019-04-03 14:05:00","Ciudad Autónoma de Buenos Aires","02"
"296421","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Ex espos@/pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-03 14:40:00","Ciudad Autónoma de Buenos Aires","02"
"296422","Víctima","Femenino","Madre","Psicológica","24","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-03 17:40:00","Ciudad Autónoma de Buenos Aires","02"
"296423","Víctima","Masculino","No hay niñas/os","Psicológica","72","Más de 60 años","Masculino","1","1","Femenino","Otro conviviente","No había móviles y/o Equipos para realizar la intervención","2019-04-03 17:45:00","Ciudad Autónoma de Buenos Aires","02"
"296424","Otra Institución","Masculino","Sin datos","Física","25","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-03 14:30:00","Ciudad Autónoma de Buenos Aires","02"
"296425","Hospital","Femenino","Otro no familiar","Física","28","18 a 29 años","Femenino","3","1","Masculino","Ex espos@/pareja","No había móviles y/o Equipos para realizar la intervención","2019-04-03 17:00:00","Ciudad Autónoma de Buenos Aires","02"
"296426","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-03 16:00:00","Ciudad Autónoma de Buenos Aires","02"
"296427","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","0","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-03 22:00:00","Ciudad Autónoma de Buenos Aires","02"
"296428","Comisaría","Femenino","Otro no familiar","Psicológica","27","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-04-03 21:30:00","Ciudad Autónoma de Buenos Aires","02"
"296429","Comisaría","Femenino","Otro no familiar","Física","32","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Se planificó intervención para otro momento","2019-04-04 01:40:00","Ciudad Autónoma de Buenos Aires","02"
"296430","Comisaría","Femenino","No hay niñas/os","Psicológica","72","Más de 60 años","Femenino","1","1","Femenino","Otro no conviviente","La víctima no aceptó la intervención de Equipos Móviles","2019-04-04 21:00:00","Ciudad Autónoma de Buenos Aires","02"
"296431","Ns/Nc","Femenino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-04 08:30:00","Ciudad Autónoma de Buenos Aires","02"
"296432","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-04 08:15:00","Ciudad Autónoma de Buenos Aires","02"
"296433","Otra Institución","Femenino","No hay niñas/os","Física","24","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-04 10:15:00","Ciudad Autónoma de Buenos Aires","02"
"296434","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-04 11:35:00","Ciudad Autónoma de Buenos Aires","02"
"296435","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-04 11:50:00","Ciudad Autónoma de Buenos Aires","02"
"296436","Otro sobre un caso que no es violencia familiar","Femenino","Sin datos","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-04 10:45:00","Ciudad Autónoma de Buenos Aires","02"
"296437","Familiar de la víctima","Masculino","No hay niñas/os","Psicológica","34","30 a 39 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-04 12:20:00","Ciudad Autónoma de Buenos Aires","02"
"296438","Otro sobre un caso que no es violencia familiar","Femenino","Otro familiar","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-04 11:50:00","Ciudad Autónoma de Buenos Aires","02"
"296439","Otro sobre un caso que no es violencia familiar","Femenino","No hay niñas/os","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-04 15:00:00","Ciudad Autónoma de Buenos Aires","02"
"296440","Comisaría","Femenino","No hay niñas/os","Psicológica","37","30 a 39 años","Femenino","1","1","Femenino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-04 16:00:00","Ciudad Autónoma de Buenos Aires","02"
"296441","Comisaría","Femenino","No hay niñas/os","Psicológica","34","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-04 17:15:00","Ciudad Autónoma de Buenos Aires","02"
"296442","Comisaría","Femenino","Otro no familiar","Psicológica","49","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-04 18:45:00","Ciudad Autónoma de Buenos Aires","02"
"296443","Familiar de la víctima","Masculino","No hay niñas/os",,"50","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-05 23:00:00","Ciudad Autónoma de Buenos Aires","02"
"296444","Comisaría","Femenino","Otro no familiar","Psicológica","21","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-04-05 01:30:00","Ciudad Autónoma de Buenos Aires","02"
"296445","Comisaría","Femenino","Otro no familiar","Física","21","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-04-05 07:15:00","Ciudad Autónoma de Buenos Aires","02"
"296446","Familiar de la víctima","Femenino","No hay niñas/os","Física","57","50 a 59 años","Femenino","1","1","Femenino","Herman@","Llamante solicitó información y/o orientación","2019-04-05 10:30:00","Ciudad Autónoma de Buenos Aires","02"
"296447","Víctima","Femenino","Madre","Psicológica","40","40 a 49 años","Femenino","4","1","Masculino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-05 11:05:00","Ciudad Autónoma de Buenos Aires","02"
"296448","Víctima","Femenino","Madre","Física","29","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-04-05 08:25:00","Ciudad Autónoma de Buenos Aires","02"
"296449","Comisaría","Masculino","Otro no familiar","Psicológica","56","50 a 59 años","Femenino","1","0","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-04-05 10:55:00","Ciudad Autónoma de Buenos Aires","02"
"296450","Víctima","Femenino","Madre","Psicológica","35","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-05 11:30:00","Ciudad Autónoma de Buenos Aires","02"
"296451","Otro sobre un caso que no es violencia familiar","Masculino","Otro no familiar","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-05 12:00:00","Ciudad Autónoma de Buenos Aires","02"
"296452","Víctima","Femenino","No hay niñas/os","Psicológica","37","30 a 39 años","Femenino","1","1","Femenino","Madre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-05 11:30:00","Ciudad Autónoma de Buenos Aires","02"
"296453","Víctima","Femenino","Sin datos","Psicológica","36","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-04-05 13:00:00","Ciudad Autónoma de Buenos Aires","02"
"296454","Víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-05 12:40:00","Ciudad Autónoma de Buenos Aires","02"
"296455","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-05 13:30:00","Ciudad Autónoma de Buenos Aires","02"
"296456","Familiar de la víctima","Femenino","No hay niñas/os","Psicológica","23","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-05 14:15:00","Ciudad Autónoma de Buenos Aires","02"
"296457","Víctima","Femenino","No hay niñas/os","Sexual","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-04-05 14:05:00","Ciudad Autónoma de Buenos Aires","02"
"296458","Profesionales PVCV","NS/NC","Sin datos","No es un caso de Vio","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-04-05 17:05:00","Ciudad Autónoma de Buenos Aires","02"
"296459","Otro sobre un caso que no es violencia familiar","Masculino","No hay niñas/os","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2019-04-05 17:05:00","Ciudad Autónoma de Buenos Aires","02"
